smiles,logP,mol,num_of_C_atoms,num_of_O_atoms,num_of_N_atoms,num_of_S_atoms,num_of_Cl_atoms,num_of_P_atoms,num_of_F_atoms,num_of_I_atoms,num_of_Br_atoms,num_of_atoms,tpsa,mol_w,num_valence_electrons,num_heteroatoms,num_H_donors,num_H_acceptors
C[C@H]([C@@H](C)Cl)Cl,2.3,<rdkit.Chem.rdchem.Mol object at 0x1409af880>,4,0,0,0,2,0,0,0,0,14,0.0,126.00030561599999,38,2,0,0
C(C=CBr)N,0.3,<rdkit.Chem.rdchem.Mol object at 0x1409ae920>,3,0,1,0,0,0,0,0,1,11,26.02,134.968361292,30,2,1,1
CCC(CO)Br,1.3,<rdkit.Chem.rdchem.Mol object at 0x1409aea40>,4,1,0,0,0,0,0,0,1,15,20.23,151.983677008,38,2,1,1
[13CH3][13CH2][13CH2][13CH2][13CH2][13CH2]O,2.0,<rdkit.Chem.rdchem.Mol object at 0x1409aeaa0>,6,1,0,0,0,0,0,0,0,21,20.23,108.124594108,44,1,1,1
CCCOCCP,0.6,<rdkit.Chem.rdchem.Mol object at 0x1409aeb00>,5,1,0,0,0,1,0,0,0,20,9.23,120.070401666,44,2,0,1
C(C(F)(F)F)F,1.7,<rdkit.Chem.rdchem.Mol object at 0x1409aeb60>,2,0,0,0,0,0,4,0,0,8,0.0,102.009262944,38,4,0,0
[2H]C([2H])C(C)(C)Cl,1.8,<rdkit.Chem.rdchem.Mol object at 0x1409aebc0>,4,0,0,0,1,0,0,0,0,14,0.0,94.05183145999999,32,1,0,0
CCCC(CI)O,2.0,<rdkit.Chem.rdchem.Mol object at 0x1409aec20>,5,1,0,0,0,0,0,1,0,18,20.23,213.985462972,44,2,1,1
CCCCCC[CH+]C,3.9,<rdkit.Chem.rdchem.Mol object at 0x1409aec80>,8,0,0,0,0,0,0,0,0,25,0.0,113.13247696408999,48,0,0,0
C(CO)NCCO,-1.4,<rdkit.Chem.rdchem.Mol object at 0x1409aece0>,4,2,1,0,0,0,0,0,0,18,52.489999999999995,105.078978592,44,3,3,3
CCCCP(C)P,1.1,<rdkit.Chem.rdchem.Mol object at 0x1409aed40>,5,0,0,0,0,2,0,0,0,21,0.0,136.057073708,44,2,0,0
C(O)OOOCO,-1.0,<rdkit.Chem.rdchem.Mol object at 0x1409aeda0>,2,5,0,0,0,0,0,0,0,13,68.15,110.021523292,44,5,2,5
C1CC1CCP,1.4,<rdkit.Chem.rdchem.Mol object at 0x1409aee00>,5,0,0,0,0,1,0,0,0,17,0.0,102.059836982,36,1,0,0
COCCC(Cl)Cl,1.8,<rdkit.Chem.rdchem.Mol object at 0x1409aee60>,4,1,0,0,2,0,0,0,0,15,9.23,141.995220236,44,3,0,1
[2H]C1=CSC=C1[2H],1.8,<rdkit.Chem.rdchem.Mol object at 0x1409aeec0>,4,0,0,1,0,0,0,0,0,9,0.0,86.01592461999999,26,1,0,1
CCCCCl,2.6,<rdkit.Chem.rdchem.Mol object at 0x1409aef20>,4,0,0,0,1,0,0,0,0,14,0.0,92.039277968,32,1,0,0
C(=O)C(N)Br,-0.3,<rdkit.Chem.rdchem.Mol object at 0x1409aef80>,2,1,1,0,0,0,0,0,1,9,43.09,136.947625848,30,3,1,2
C(=S)(S)[S-],1.5,<rdkit.Chem.rdchem.Mol object at 0x1409aefe0>,1,0,0,3,0,0,0,0,0,5,0.0,108.92458661191,24,3,1,3
C(C(CBr)S)Br,2.1,<rdkit.Chem.rdchem.Mol object at 0x1409af040>,3,0,0,1,0,0,0,0,2,12,0.0,231.855695392,38,3,1,1
CCSCCCCN,1.0,<rdkit.Chem.rdchem.Mol object at 0x1409af0a0>,6,0,1,1,0,0,0,0,0,23,26.02,133.09252048,50,2,1,2
CC(C)C(C)O,1.3,<rdkit.Chem.rdchem.Mol object at 0x1409af100>,5,1,0,0,0,0,0,0,0,18,20.23,88.088815004,38,1,1,1
CCCOC(C)N,0.6,<rdkit.Chem.rdchem.Mol object at 0x1409af160>,5,1,1,0,0,0,0,0,0,20,35.25,103.099714036,44,2,1,2
CCC[I-]I,3.5,<rdkit.Chem.rdchem.Mol object at 0x1409af1c0>,3,0,0,0,0,0,0,2,0,12,0.0,296.8642698039102,34,2,0,0
CC[CH]CC(C)CC,4.3,<rdkit.Chem.rdchem.Mol object at 0x1409af220>,8,0,0,0,0,0,0,0,0,25,0.0,113.13302554399999,49,0,0,0
CN(C)CCCBr,1.4,<rdkit.Chem.rdchem.Mol object at 0x1409af280>,5,0,1,0,0,0,0,0,1,19,3.24,165.015311484,44,2,0,1
C(CO)COS,0.2,<rdkit.Chem.rdchem.Mol object at 0x1409af2e0>,3,2,0,1,0,0,0,0,0,14,29.46,108.024500496,38,3,2,3
CC(C)NCCl,1.3,<rdkit.Chem.rdchem.Mol object at 0x1409af340>,4,0,1,0,1,0,0,0,0,16,12.03,107.05017699999999,38,2,1,1
C=CC(P)P,0.4,<rdkit.Chem.rdchem.Mol object at 0x1409af3a0>,3,0,0,0,0,2,0,0,0,13,0.0,106.010123516,30,2,0,0
COCCl,0.8,<rdkit.Chem.rdchem.Mol object at 0x1409af400>,2,1,0,0,1,0,0,0,0,9,9.23,80.00289246,26,2,0,1
C(SF)SF,1.9,<rdkit.Chem.rdchem.Mol object at 0x1409af460>,1,0,0,2,0,0,2,0,0,7,0.0,115.956598504,32,4,0,2
CC(=S)P,0.3,<rdkit.Chem.rdchem.Mol object at 0x1409af4c0>,2,0,0,1,0,1,0,0,0,9,0.0,91.98495779,24,2,0,1
C[I-]CON,0.7,<rdkit.Chem.rdchem.Mol object at 0x1409af520>,2,1,1,0,0,0,0,1,0,12,35.25,187.95778542391,34,3,1,2
CCC[C@@H](CN)N,-0.3,<rdkit.Chem.rdchem.Mol object at 0x1409af580>,5,0,2,0,0,0,0,0,0,21,52.04,102.11569844799999,44,2,2,2
C(F)(F)(S)Cl,2.0,<rdkit.Chem.rdchem.Mol object at 0x1409af5e0>,1,0,0,1,1,0,2,0,0,6,0.0,117.945555152,32,4,1,1
CC(CO)SO,-0.3,<rdkit.Chem.rdchem.Mol object at 0x1409af640>,3,2,0,1,0,0,0,0,0,14,40.46,108.024500496,38,3,2,3
CC(=C)CCl,2.1,<rdkit.Chem.rdchem.Mol object at 0x1409af6a0>,4,0,0,0,1,0,0,0,0,12,0.0,90.023627904,30,1,0,0
CCI(C)NC,1.6,<rdkit.Chem.rdchem.Mol object at 0x1409af700>,4,0,1,0,0,0,0,1,0,18,12.03,201.001447384,40,2,1,1
C(=S)(S)I,1.8,<rdkit.Chem.rdchem.Mol object at 0x1409af760>,1,0,0,2,0,0,0,1,0,5,0.0,203.856440032,24,3,1,2
[2H]C(C(C)(C)C)N,1.0,<rdkit.Chem.rdchem.Mol object at 0x1409af7c0>,5,0,1,0,0,0,0,0,0,19,26.02,88.11107616199999,38,1,1,1
CC(C(F)F)F,1.9,<rdkit.Chem.rdchem.Mol object at 0x1409af820>,3,0,0,0,0,0,3,0,0,11,0.0,98.03433482,38,3,0,0
C(CP)CP,-0.1,<rdkit.Chem.rdchem.Mol object at 0x1409af8e0>,3,0,0,0,0,2,0,0,0,15,0.0,108.02577357999999,32,2,0,0
C[C@H](CNC)OC,0.1,<rdkit.Chem.rdchem.Mol object at 0x1409af940>,5,1,1,0,0,0,0,0,0,20,21.259999999999998,103.099714036,44,2,1,2
C(N)(S)S,0.1,<rdkit.Chem.rdchem.Mol object at 0x1409af9a0>,1,0,1,2,0,0,0,0,0,9,26.02,94.98634116,26,3,3,3
COOOBr,1.1,<rdkit.Chem.rdchem.Mol object at 0x1409afa00>,1,3,0,0,0,0,0,0,1,8,27.69,141.926556056,32,4,0,3
C(CS)CBr,1.6,<rdkit.Chem.rdchem.Mol object at 0x1409afa60>,3,0,0,1,0,0,0,0,1,12,0.0,153.945183324,32,2,1,1
CC=PP,-1.1,<rdkit.Chem.rdchem.Mol object at 0x1409afac0>,2,0,0,0,0,2,0,0,0,10,0.0,91.994473452,24,2,0,0
CCC(C)CCF,2.8,<rdkit.Chem.rdchem.Mol object at 0x1409afb20>,6,0,0,0,0,0,1,0,0,20,0.0,104.100128636,44,1,0,0
CCCNP(C)C,0.6,<rdkit.Chem.rdchem.Mol object at 0x1409afb80>,5,0,1,0,0,1,0,0,0,21,12.03,119.08638607799999,44,2,1,1
C(N)(N)NP,-2.0,<rdkit.Chem.rdchem.Mol object at 0x1409afbe0>,1,0,3,0,0,1,0,0,0,13,64.07,93.04558388599999,32,4,3,3
C[C@H](CCN)CO,-0.2,<rdkit.Chem.rdchem.Mol object at 0x1409afc40>,5,1,1,0,0,0,0,0,0,20,46.25,103.099714036,44,2,2,2
C(CSCCCl)N,0.5,<rdkit.Chem.rdchem.Mol object at 0x1409afca0>,4,0,1,1,1,0,0,0,0,17,26.02,139.022248,44,3,1,2
C1CSSS1,1.1,<rdkit.Chem.rdchem.Mol object at 0x1409afd00>,2,0,0,3,0,0,0,0,0,9,0.0,123.947513128,30,3,0,3
CCC(NC)Cl,1.4,<rdkit.Chem.rdchem.Mol object at 0x1409afd60>,4,0,1,0,1,0,0,0,0,16,12.03,107.05017699999999,38,2,1,1
C(CC=S)CO,-0.1,<rdkit.Chem.rdchem.Mol object at 0x1409afdc0>,4,1,0,1,0,0,0,0,0,14,20.23,104.029585876,36,2,1,2
COCCNPF,0.1,<rdkit.Chem.rdchem.Mol object at 0x1409afe20>,3,1,1,0,0,1,1,0,0,16,21.259999999999998,125.040578758,44,4,1,2
[2H]C([2H])([2H])C(C)(C)CO,1.3,<rdkit.Chem.rdchem.Mol object at 0x1409afe80>,5,1,0,0,0,0,0,0,0,18,20.23,91.107645242,38,1,1,1
[2H]C(P([3H])C)I,0.7,<rdkit.Chem.rdchem.Mol object at 0x1409afee0>,2,0,0,0,0,1,0,1,0,10,0.0,190.93968581399997,26,2,0,0
[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])CO,0.9,<rdkit.Chem.rdchem.Mol object at 0x1409aff40>,4,1,0,0,0,0,0,0,0,15,20.23,81.117102162,32,1,1,1
C1CC1OI,1.5,<rdkit.Chem.rdchem.Mol object at 0x1409affa0>,3,1,0,0,0,0,0,1,0,10,9.23,183.93851278,30,2,0,1
C([C@H](F)Br)O,0.8,<rdkit.Chem.rdchem.Mol object at 0x1409c0040>,2,1,0,0,0,0,1,0,1,9,20.23,141.942955068,32,3,1,1
CS(N)(Cl)Cl,1.7,<rdkit.Chem.rdchem.Mol object at 0x1409c00a0>,1,0,1,1,2,0,0,0,0,10,26.02,132.95197552,34,4,1,1
[CH]C[C@H](CO)O,-0.2,<rdkit.Chem.rdchem.Mol object at 0x1409c0100>,4,2,0,0,0,0,0,0,0,14,40.46,88.052429496,36,2,2,2
CNCCN(C)N,-0.9,<rdkit.Chem.rdchem.Mol object at 0x1409c0160>,4,0,3,0,0,0,0,0,0,20,41.29,103.11094741599999,44,3,2,3
C(OS)OSI,1.8,<rdkit.Chem.rdchem.Mol object at 0x1409c01c0>,1,2,0,2,0,0,0,1,0,9,18.46,237.861919336,38,5,1,4
C(P)P=O,-1.0,<rdkit.Chem.rdchem.Mol object at 0x1409c0220>,1,1,0,0,0,2,0,0,0,8,17.07,93.973738008,24,3,0,1
CC(C)N(F)F,1.2,<rdkit.Chem.rdchem.Mol object at 0x1409c0280>,3,0,1,0,0,0,2,0,0,13,3.24,95.054655664,38,3,0,1
CCC(C)OCO,0.8,<rdkit.Chem.rdchem.Mol object at 0x1409c02e0>,5,2,0,0,0,0,0,0,0,19,29.46,104.083729624,44,2,1,2
CC(F)(F)Br,2.1,<rdkit.Chem.rdchem.Mol object at 0x1409c0340>,2,0,0,0,0,0,2,0,1,8,0.0,143.938618636,32,3,0,0
C[S+](C)CCO,0.2,<rdkit.Chem.rdchem.Mol object at 0x1409c03a0>,4,1,0,1,0,0,0,0,0,17,20.23,107.05251239209,38,2,1,1
[2H]C([2H])(C)CI,2.6,<rdkit.Chem.rdchem.Mol object at 0x1409c0400>,3,0,0,0,0,0,0,1,0,11,0.0,171.971801716,26,1,0,0
C(O)OOC=O,-0.4,<rdkit.Chem.rdchem.Mol object at 0x1409c0460>,2,4,0,0,0,0,0,0,0,10,55.76,92.010958608,36,4,1,4
C(OOSF)F,1.5,<rdkit.Chem.rdchem.Mol object at 0x1409c04c0>,1,2,0,1,0,0,2,0,0,8,18.46,115.974356744,38,5,0,3
CC(C=C)S,1.6,<rdkit.Chem.rdchem.Mol object at 0x1409c0520>,4,0,0,1,0,0,0,0,0,13,0.0,88.034671256,30,1,1,1
CCC(C)CC[NH3+],1.5,<rdkit.Chem.rdchem.Mol object at 0x1409c0580>,6,0,1,0,0,0,0,0,0,23,27.64,102.12772593208999,44,1,1,0
CC(C)CCOCl,2.6,<rdkit.Chem.rdchem.Mol object at 0x1409c05e0>,5,1,0,0,1,0,0,0,0,18,9.23,122.049842652,44,2,0,1
CN(C)NN(C)C,0.3,<rdkit.Chem.rdchem.Mol object at 0x1409c0640>,4,0,3,0,0,0,0,0,0,20,18.509999999999998,103.11094741599999,44,3,1,3
CCCCOC,1.7,<rdkit.Chem.rdchem.Mol object at 0x1409c06a0>,5,1,0,0,0,0,0,0,0,18,9.23,88.088815004,38,1,0,1
CSOSS,1.4,<rdkit.Chem.rdchem.Mol object at 0x1409c0700>,1,1,0,3,0,0,0,0,0,9,9.23,127.942427748,32,4,1,4
C[NH2+]/C=C\S,0.6,<rdkit.Chem.rdchem.Mol object at 0x1409c0760>,3,0,1,1,0,0,0,0,0,13,16.61,90.03719667608999,30,2,2,1
CCCCCC[CH]C,3.9,<rdkit.Chem.rdchem.Mol object at 0x1409c07c0>,8,0,0,0,0,0,0,0,0,25,0.0,113.13302554399999,49,0,0,0
CCC(C)[CH+]C,3.2,<rdkit.Chem.rdchem.Mol object at 0x1409c0820>,6,0,0,0,0,0,0,0,0,19,0.0,85.10117683608999,36,0,0,0
C1CO[PH2+]C1,0.1,<rdkit.Chem.rdchem.Mol object at 0x1409c0880>,3,1,0,0,0,1,0,0,0,13,9.23,91.03072792609,30,2,0,1
CCC(CO)S,0.8,<rdkit.Chem.rdchem.Mol object at 0x1409c08e0>,4,1,0,1,0,0,0,0,0,16,20.23,106.04523594,38,2,2,2
C=II,2.3,<rdkit.Chem.rdchem.Mol object at 0x1409c0940>,1,0,0,0,0,0,0,2,0,5,0.0,267.82459606400005,20,2,0,0
C1C(CO1)Cl,0.5,<rdkit.Chem.rdchem.Mol object at 0x1409c09a0>,3,1,0,0,1,0,0,0,0,10,9.23,92.00289246,30,2,0,1
[2H]C(CCO)CO,-0.8,<rdkit.Chem.rdchem.Mol object at 0x1409c0a00>,4,2,0,0,0,0,0,0,0,16,40.46,91.074356306,38,2,2,2
CNC(=S)[S-],0.7,<rdkit.Chem.rdchem.Mol object at 0x1409c0a60>,2,0,1,2,0,0,0,0,0,9,12.03,105.97906470791,30,3,1,2
C[C@H](CS)NC,0.5,<rdkit.Chem.rdchem.Mol object at 0x1409c0ac0>,4,0,1,1,0,0,0,0,0,17,12.03,105.06122035199999,38,2,2,2
C(O)OCS,-0.1,<rdkit.Chem.rdchem.Mol object at 0x1409c0b20>,2,2,0,1,0,0,0,0,0,11,29.46,94.008850432,32,3,2,3
C[C@H](N)NI,-0.3,<rdkit.Chem.rdchem.Mol object at 0x1409c0b80>,2,0,2,0,0,0,0,1,0,12,38.05,185.965396224,32,3,2,2
C[C@H]([C@H](C)S)S,1.7,<rdkit.Chem.rdchem.Mol object at 0x1409c0be0>,4,0,0,2,0,0,0,0,0,16,0.0,122.02239232,38,2,2,2
C(C(CF)Cl)F,1.6,<rdkit.Chem.rdchem.Mol object at 0x1409c0c40>,3,0,0,0,1,0,2,0,0,11,0.0,114.00478428,38,3,0,0
[3H]OOCCCCCC,1.9,<rdkit.Chem.rdchem.Mol object at 0x1409c0ca0>,6,2,0,0,0,0,0,0,0,22,29.46,120.107603934,50,2,1,2
C(S)[I-]S,1.8,<rdkit.Chem.rdchem.Mol object at 0x1409c0d00>,1,0,0,2,0,0,0,1,0,8,0.0,206.88046370791,28,3,2,2
CSCCCl,1.5,<rdkit.Chem.rdchem.Mol object at 0x1409c0d60>,3,0,0,1,1,0,0,0,0,12,0.0,109.995698904,32,2,0,1
CCOC(N)N,-1.2,<rdkit.Chem.rdchem.Mol object at 0x1409c0dc0>,3,1,2,0,0,0,0,0,0,16,61.269999999999996,90.07931294,38,3,2,3
C=IC(S)S,2.1,<rdkit.Chem.rdchem.Mol object at 0x1409c0e20>,2,0,0,2,0,0,0,1,0,10,0.0,219.88774016,32,3,2,2
CS(=S)O,2.2,<rdkit.Chem.rdchem.Mol object at 0x1409c0e80>,1,1,0,2,0,0,0,0,0,8,20.23,95.970356748,26,3,1,2
CCCPCCC,1.7,<rdkit.Chem.rdchem.Mol object at 0x1409c0ee0>,6,0,0,0,0,1,0,0,0,22,0.0,118.09113710999999,44,1,0,0
COP(C)Cl,0.8,<rdkit.Chem.rdchem.Mol object at 0x1409c0f40>,2,1,0,0,1,1,0,0,0,11,9.23,111.984479122,32,3,0,1
C(CN[NH3+])N[NH3+],-2.1,<rdkit.Chem.rdchem.Mol object at 0x1409c0fa0>,2,0,4,0,0,0,0,0,0,18,79.34,92.10509922417998,38,4,4,2
CP([O-])S,-0.2,<rdkit.Chem.rdchem.Mol object at 0x1409c1000>,1,1,0,1,0,1,0,0,0,8,23.06,94.97259595791,26,3,1,2
CC(C)C(I)I,3.3,<rdkit.Chem.rdchem.Mol object at 0x1409c1060>,4,0,0,0,0,0,0,2,0,14,0.0,309.8715462560002,38,2,0,0
C1CNPN1,-0.8,<rdkit.Chem.rdchem.Mol object at 0x1409c10c0>,2,0,2,0,0,1,0,0,0,12,24.06,90.03468485399999,30,3,2,2
CCC(C)C(C)C,3.4,<rdkit.Chem.rdchem.Mol object at 0x1409c1120>,7,0,0,0,0,0,0,0,0,23,0.0,100.12520051199999,44,0,0,0
CC1CC[C]C1,3.4,<rdkit.Chem.rdchem.Mol object at 0x1409c1180>,6,0,0,0,0,0,0,0,0,16,0.0,82.07825032,34,0,0,0
CCCCCOC,1.9,<rdkit.Chem.rdchem.Mol object at 0x1409c11e0>,6,1,0,0,0,0,0,0,0,21,9.23,102.104465068,44,1,0,1
C(C(F)(F)F)O,0.4,<rdkit.Chem.rdchem.Mol object at 0x1409c1240>,2,1,0,0,0,0,3,0,0,9,20.23,100.013599376,38,4,1,1
C=CNSCN,0.4,<rdkit.Chem.rdchem.Mol object at 0x1409c12a0>,3,0,2,1,0,0,0,0,0,14,38.05,104.04081925599999,36,3,2,3
[2H]CC([2H])([2H])C([2H])([2H])C([2H])([2H])Br,2.8,<rdkit.Chem.rdchem.Mol object at 0x1409c1300>,4,0,0,0,0,0,0,0,1,14,0.0,143.03269961,32,1,0,0
COCCNCN,-1.2,<rdkit.Chem.rdchem.Mol object at 0x1409c1360>,4,1,2,0,0,0,0,0,0,19,47.28,104.094963004,44,3,2,3
C[C@@H](CCCO)O,0.0,<rdkit.Chem.rdchem.Mol object at 0x1409c13c0>,5,2,0,0,0,0,0,0,0,19,40.46,104.083729624,44,2,2,2
CCCC(CCC)Br,3.6,<rdkit.Chem.rdchem.Mol object at 0x1409c1420>,7,0,0,0,0,0,0,0,1,23,0.0,178.03571258,50,1,0,0
CCCOCl,1.8,<rdkit.Chem.rdchem.Mol object at 0x1409c1480>,3,1,0,0,1,0,0,0,0,12,9.23,94.018542524,32,2,0,1
CC(CCNC)Cl,1.2,<rdkit.Chem.rdchem.Mol object at 0x1409c14e0>,5,0,1,0,1,0,0,0,0,19,12.03,121.06582706399999,44,2,1,1
CCN(C)SS,1.6,<rdkit.Chem.rdchem.Mol object at 0x1409c1540>,3,0,1,2,0,0,0,0,0,15,3.24,123.017641288,38,3,1,3
